target_url,target_url_domain,final_url,final_url_domain,final_url_website,canonical_link,final_url_mimetype,final_url_live,target_url_redirects,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,final_url_status_code,target_url_404_test,scan_date,scan_date,primary_scan_status,not_found_scan_status,robots_txt_scan_status,sitemap_xml_scan_status,dns_scan_status,dns_ipv6,dns_hostname,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_other,cms,cloud_dot_gov_pages,uswds_favicon,uswds_favicon_in_css,uswds_publicsans_font,uswds_count,uswds_usa_classes,uswds_inline_css,uswds_string,uswds_string_in_css,uswds_semantic_version,uswds_version,og_article_published_final_url,og_article_modified_final_url,og_title_final_url,og_description_final_url,main_element_present_final_url,robots_txt_final_url,robots_txt_detected,robots_txt_final_url_live,robots_txt_target_url_redirects,robots_txt_final_url_status_code,robots_txt_final_url_mimetype,robots_txt_final_url_filesize_in_bytes,robots_txt_crawl_delay,robots_txt_sitemap_locations,sitemap_xml_final_url,sitemap_xml_detected,sitemap_xml_final_url_live,sitemap_xml_target_url_redirects,sitemap_xml_final_url_status_code,sitemap_xml_final_url_mimetype,sitemap_xml_final_url_filesize_in_bytes,sitemap_xml_count,sitemap_xml_pdf_count,third_party_service_domains,third_party_service_count,login_detected,dap_detected_final_url,dap_parameters_final_url
360eldorado.com/government,360eldorado.com,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:19,timeout,unknown_error,timeout,timeout,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adoptpakids.org,adoptpakids.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:19,timeout,unknown_error,timeout,timeout,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afpmb.org,afpmb.org,,,,,,,,,,,,,,FALSE,2023-03-16 10:25:11,2023-03-16 10:27:20,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aidea.org,aidea.org,,,,,,,,,,,,,,TRUE,2023-03-16 10:25:11,2023-03-16 10:27:21,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahrqstg.org,ahrqstg.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:21,connection_refused,unknown_error,connection_refused,connection_refused,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abilenetx.com,abilenetx.com,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:21,connection_reset,unknown_error,connection_reset,connection_reset,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afneurope.net,afneurope.net,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:22,unknown_error,unknown_error,unknown_error,unknown_error,completed,TRUE,edgekey.net,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afcrossroads.com,afcrossroads.com,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:24,timeout,unknown_error,timeout,timeout,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajcity.net,ajcity.net,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:24,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ak-prepared.com,ak-prepared.com,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:24,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akenergyauthority.org,akenergyauthority.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:25,connection_reset,unknown_error,connection_reset,connection_reset,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akpb.org,akpb.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:26,unknown_error,unknown_error,unknown_error,unknown_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akron-pa.com,akron-pa.com,https://www.akron-pa.com/,akron-pa.com,www.akron-pa.com,https://www.akron-pa.com/,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,TRUE,2023-03-16 10:25:11,2023-03-16 10:27:32,completed,completed,completed,completed,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,0,0,0,0,0,,0,,,Home - Akron Borough,  AKRON BOROUGH is seeking applications/resumes for a Full-time Administrative Assistant position.  This position is responsible for the administrative support to...,TRUE,https://akron-pa.com/robots.txt,TRUE,TRUE,FALSE,200,text/plain,185,5,,https://www.akron-pa.com/sitemap_index.xml,FALSE,TRUE,TRUE,200,text/xml,,,,"ajax.googleapis.com,fonts.googleapis.com,fonts.gstatic.com,www.google.com,www.gstatic.com",5,,FALSE,
accessfayetteville.org,accessfayetteville.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:32,connection_reset,unknown_error,connection_reset,connection_reset,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airspacemag.com,airspacemag.com,https://www.smithsonianmag.com/category/air-space-magazine/,smithsonianmag.com,www.smithsonianmag.com,https://www.smithsonianmag.com/category/air-space-magazine/,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,TRUE,2023-03-16 10:25:11,2023-03-16 10:27:33,completed,completed,completed,completed,completed,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,0,0,0,0,0,,0,,,,,FALSE,https://www.smithsonianmag.com/robots.txt,TRUE,TRUE,TRUE,200,text/html,273,,https://www.smithsonianmag.com/sitemap.xml,https://www.smithsonianmag.com/sitemap.xml,TRUE,TRUE,TRUE,200,application/xml,4801,0,0,"33across-match.dotomi.com,a.audrte.com,a.omappapi.com,a.pub.network,a.sportradarserving.com,a.tribalfusion.com,aa.agkn.com,aax-dtb-cf.amazon-adsystem.com,aax-eu.amazon-adsystem.com,ad-delivery.net,ad.360yield.com,ad.doubleclick.net,ad.turn.com,ads.avct.cloud,ads.creative-serving.com,ads.playground.xyz,ads.pubmatic.com,ads.yieldmo.com,adservice.google.com,aorta.clickagy.com,ap.lijit.com,apex.go.sonobi.com,api.bounceexchange.com,api.btloader.com,api.floors.dev,api.intentiq.com,api.omappapi.com,api.rlcdn.com,as-sec.casalemedia.com,assets.bounceexchange.com,aud.pubmatic.com,b-code.liadm.com,b1sync.zemanta.com,bcp.crwdcntrl.net,beap-bc.yahoo.com,bh.contextweb.com,bidder.criteo.com,bpi.rtactivate.com,btloader.com,btlr.sharethrough.com,bttrack.com,c.amazon-adsystem.com,c.bing.com,c.pub.network,c1.adform.net,c2shb.pubgw.yahoo.com,cdn-ima.33across.com,cdn.ampproject.org,cdn.confiant-integrations.net,cdn.cookielaw.org,cdn.id5-sync.com,cdn.indexww.com,cdn.js7k.com,cdn.parsely.com,ce.lijit.com,cm.g.doubleclick.net,cms-xch-chicago.33across.com,cms.quantserve.com,colossusssp.com,confiant-integrations.global.ssl.fastly.net,contextual-analytics.wunderkind.co,crb.kargo.com,creativecdn.com,cs-tam.yellowblue.io,cs.media.net,cs.yellowblue.io,csync.loopme.me,d.adroll.com,d.pub.network,d.turn.com,d1z2jf7jlzjs58.cloudfront.net,data.adsrvr.org,dis.eu.criteo.com,dmp.adform.net,dmp.brand-display.com,dpm.demdex.net,dsum-sec.casalemedia.com,dsum.casalemedia.com,dt.adsafeprotected.com,eb2.3lift.com,engagefront.theweathernetwork.com,eus.rubiconproject.com,events-ssc.33across.com,events.bouncex.net,fastlane.rubiconproject.com,fonts.googleapis.com,fonts.gstatic.com,freestar-io.videoplayerhub.com,fw.adsafeprotected.com,g2.gumgum.com,geolocation.onetrust.com,googleads.g.doubleclick.net,gum.criteo.com,hbopenbid.pubmatic.com,htlb.casalemedia.com,i.liadm.com,i6.liadm.com,ib.adnxs.com,ice.360yield.com,id.crwdcntrl.net,id.rlcdn.com,id5-sync.com,idsync.rlcdn.com,idx.liadm.com,image2.pubmatic.com,image4.pubmatic.com,image6.pubmatic.com,image8.pubmatic.com,imasdk.googleapis.com,io.narrative.io,jadserve.postrelease.com,ka-p.fontawesome.com,kit.fontawesome.com,lb.eu-1-id5-sync.com,lexicon.33across.com,logs1.smithsonian.museum,match.adsby.bidtheatre.com,match.adsrvr.org,match.prod.bidr.io,match.sharethrough.com,mid.rkdms.com,odr.mookie1.com,onetag-sys.com,p.rfihub.com,p1.parsely.com,pagead2.googlesyndication.com,pippio.com,pixel-eu.rubiconproject.com,pixel-sync.sitescout.com,pixel-us-east.rubiconproject.com,pixel.advertising.com,pixel.onaudience.com,pixel.quantserve.com,pixel.rubiconproject.com,pixel.tapad.com,pm.w55c.net,pmp.mxptint.net,pn.ybp.yahoo.com,pr-bh.ybp.yahoo.com,prebid-match.dotomi.com,prebid.adnxs.com,prod.us-east-1.cxm-bcn.publisher-services.amazon.dev,protected-by.clarium.io,ps.eyeota.net,pubmatic-match.dotomi.com,pulsepoint-match.dotomi.com,px.ads.linkedin.com,r.bidswitch.net,r.casalemedia.com,resources.infolinks.com,router.infolinks.com,rp.liadm.com,rt3003.infolinks.com,rtb.adentifi.com,rtb.adstanding.com,rtb.openx.net,rules.quantcount.com,s.amazon-adsystem.com,s.company-target.com,s.tribalfusion.com,s.yimg.com,s2s.t13.io,s7.addthis.com,sb.scorecardresearch.com,secure.adnxs.com,secure.cdn.fastclick.net,secure.quantserve.com,securepubads.g.doubleclick.net,simage2.pubmatic.com,simage4.pubmatic.com,ssbsync-global.smartadserver.com,ssbsync.smartadserver.com,ssc-cms.33across.com,ssp.behave.com,ssp.disqus.com,ssum-sec.casalemedia.com,stags.bluekai.com,static.adsafeprotected.com,static.cloudflareinsights.com,static.criteo.net,stats.g.doubleclick.net,sync-beeswax.ads.yieldmo.com,sync-tm.everesttech.net,sync.1rx.io,sync.bfmio.com,sync.crwdcntrl.net,sync.go.sonobi.com,sync.intentiq.com,sync.ipredictive.com,sync.mathtag.com,sync.srv.stackadapt.com,sync.targeting.unrulymedia.com,sync1.intentiq.com,synchroscript.deliveryengine.adswizz.com,tag.bounceexchange.com,th-thumbnailer.cdn-si-edu.com,thrtle.com,tlx.3lift.com,token.rubiconproject.com,tpc.googlesyndication.com,trc.taboola.com,u.openx.net,uipglob.semasio.net,um.simpli.fi,ups.analytics.yahoo.com,us-u.openx.net,visitor.fiftyt.com,www.google-analytics.com,www.google.com,www.googleadservices.com,www.googletagmanager.com,www.googletagservices.com,www.sc.pages03.net,x.bidswitch.net,x.dlx.addthis.com,z.moatads.com",216,,FALSE,
accidentmd.org,accidentmd.org,,,,,,,,,,,,,,TRUE,2023-03-16 10:25:11,2023-03-16 10:27:33,unknown_error,completed,unknown_error,unknown_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akrr.com,akrr.com,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:34,connection_reset,unknown_error,connection_reset,connection_reset,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alabamacounterdrug.com,alabamacounterdrug.com,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:34,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alabamafilm.org,alabamafilm.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:27:35,connection_reset,unknown_error,connection_reset,connection_reset,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
defensetv.tv,defensetv.tv,,,,,,,,,,,,,,,2023-03-16 10:25:12,2023-03-16 11:31:08,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alamotownship.org,alamotownship.org,,,,,,,,,,,,,,TRUE,2023-03-16 10:25:11,2023-03-16 10:28:23,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alaskacfc.org,alaskacfc.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:28:24,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afnpacific.net,afnpacific.net,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:28:34,timeout,unknown_error,timeout,timeout,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albop.com,albop.com,https://albop.com/,albop.com,albop.com,,text/html,FALSE,FALSE,TRUE,TRUE,,,,403,FALSE,2023-03-16 10:25:11,2023-03-16 10:28:36,completed,completed,completed,completed,completed,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,0,0,0,0,0,,0,,,,,FALSE,https://albop.com/robots.txt,FALSE,FALSE,FALSE,403,text/html,,,,https://albop.com/sitemap.xml,FALSE,FALSE,FALSE,403,text/html,,,,challenges.cloudflare.com,1,,FALSE,
albanyny.org,albanyny.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:28:36,connection_reset,unknown_error,connection_reset,connection_reset,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aces.edu,aces.edu,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:28:39,connection_refused,unknown_error,connection_refused,connection_refused,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alburtis.org,alburtis.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:28:39,unknown_error,unknown_error,unknown_error,unknown_error,completed,TRUE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexandria-nj.us,alexandria-nj.us,https://www.alexandria-nj.us/,alexandria-nj.us,www.alexandria-nj.us,https://www.alexandria-nj.us/,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,TRUE,2023-03-16 10:25:11,2023-03-16 10:28:44,completed,completed,completed,completed,completed,FALSE,amazonaws.com,FALSE,FALSE,FALSE,FALSE,WordPress,FALSE,0,0,0,0,0,0,0,0,,0,,,,,TRUE,https://www.alexandria-nj.us/robots.txt,TRUE,TRUE,TRUE,200,text/plain,118,,https://www.alexandria-nj.us/sitemap.xml,https://alexandria-nj.us/sitemap.xml,TRUE,TRUE,FALSE,200,text/xml,5385,0,0,fonts.googleapis.com,1,"""password"",type=""password""",FALSE,
dfwmetroplexcfc.org,dfwmetroplexcfc.org,,,,,,,,,,,,,,,2023-03-16 10:25:12,2023-03-16 11:31:08,dns_resolution_error,unknown_error,dns_resolution_error,dns_resolution_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcsafesurrender.com,dcsafesurrender.com,,,,,,,,,,,,,,,2023-03-16 10:25:12,2023-03-16 11:31:59,timeout,unknown_error,timeout,timeout,completed,FALSE,awsglobalaccelerator.com,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enosburghvermont.org,enosburghvermont.org,,,,,,,,,,,,,,,2023-03-16 10:25:12,2023-03-16 11:32:51,timeout,unknown_error,timeout,timeout,completed,FALSE,awsglobalaccelerator.com,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfordtownship.com,frankfordtownship.com,,,,,,,,,,,,,,,2023-03-16 10:25:12,2023-03-16 11:32:51,unknown_error,unknown_error,unknown_error,unknown_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fairviewok.org,fairviewok.org,,,,,,,,,,,,,,,2023-03-16 10:25:12,2023-03-16 11:32:53,timeout,unknown_error,timeout,timeout,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algonquin.org,algonquin.org,,,,,,,,,,,,,,TRUE,2023-03-16 10:25:11,2023-03-16 10:28:45,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alleghanycounty.us,alleghanycounty.us,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:28:46,unknown_error,unknown_error,unknown_error,unknown_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allenhurstnj.org,allenhurstnj.org,,,,,,,,,,,,,,FALSE,2023-03-16 10:25:11,2023-03-16 10:28:46,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,amazonaws.com,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aberdeen-md.org,aberdeen-md.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:28:48,timeout,unknown_error,timeout,timeout,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allentownship.org,allentownship.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:28:48,unknown_error,unknown_error,unknown_error,unknown_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphaboro.org,alphaboro.org,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:28:48,unknown_error,unknown_error,unknown_error,unknown_error,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpinenj07620.org,alpinenj07620.org,,,,,,,,,,,,,,TRUE,2023-03-16 10:25:11,2023-03-16 10:28:49,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpinetwp.org,alpinetwp.org,,,,,,,,,,,,,,TRUE,2023-03-16 10:25:11,2023-03-16 10:28:50,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,awsglobalaccelerator.com,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alalinc.net,alalinc.net,,,,,,,,,,,,,,,2023-03-16 10:25:11,2023-03-16 10:28:50,timeout,unknown_error,timeout,timeout,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altamontvillage.org,altamontvillage.org,,,,,,,,,,,,,,FALSE,2023-03-16 10:25:11,2023-03-16 10:28:51,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,amazonaws.com,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alvaok.org,alvaok.org,,,,,,,,,,,,,,TRUE,2023-03-16 10:25:11,2023-03-16 10:28:52,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
americorpsconnect.org,americorpsconnect.org,,,,,,,,,,,,,,TRUE,2023-03-16 10:25:11,2023-03-16 10:28:52,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,amazonaws.com,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andover.nh.us,nh.us,https://andover.nh.us/,nh.us,andover.nh.us,,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,TRUE,2023-03-16 10:25:11,2023-03-16 10:28:56,completed,completed,completed,completed,completed,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,0,0,0,0,0,0,0,0,,0,,,,,FALSE,https://andover.nh.us/robots.txt,TRUE,TRUE,FALSE,200,text/plain,0,,,https://andover.nh.us/sitemap.xml,FALSE,FALSE,FALSE,404,text/html,,,,"code.jquery.com,kearsargechamber.org,maxcdn.bootstrapcdn.com",3,,FALSE,
angier.org,angier.org,,,,,,,,,,,,,,FALSE,2023-03-16 10:25:11,2023-03-16 10:28:56,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,amazonaws.com,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angolain.org,angolain.org,,,,,,,,,,,,,,TRUE,2023-03-16 10:25:11,2023-03-16 10:28:57,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antrimnh.org,antrimnh.org,,,,,,,,,,,,,,FALSE,2023-03-16 10:25:11,2023-03-16 10:28:58,invalid_ssl_cert,completed,invalid_ssl_cert,invalid_ssl_cert,completed,FALSE,amazonaws.com,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
