In inventory?,target_url,target_url_domain,final_url,final_url_domain,final_url_mimetype,final_url_live,target_url_redirects,final_url_same_domain,final_url_same_website,target_url_agency_owner,target_url_bureau_owner,target_url_branch,final_url_status_code,,Status check function,Status check Flat,Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
aberdeen.sd.us,aberdeen.sd.us,sd.us,https://aberdeen.sd.us/,sd.us,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,511ny.org,,,,State,,New York,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34",http://511ny.org/,1/24/14 14:33
aatwp.org,aatwp.org,aatwp.org,https://aatwp.org/,aatwp.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,911digitalarchive.org,,,,Quasigovernmental,,,The September 11 Digital Archive (funded by a major grant from the Alfred P. Sloan Foundation and organized by the American Social History Project at the City University of New York Graduate Center and the Center for History and New Media at George Mason University) -- Note added 6/6/13 18:08,http://911digitalarchive.org/,6/6/13 18:08
211virginia.org,211virginia.org,211virginia.org,https://211virginia.org/consite/index.php,211virginia.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,a2gov.org,,,,Local,,Michigan,"City of Ann Arbor, MI -- Note added 8/31/16 16:38",http://www.a2gov.org/,8/31/16 16:33
4thjudicialda.com,4thjudicialda.com,4thjudicialda.com,https://4thjudicialda.com/,4thjudicialda.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,aacounty.org,,,,County,,Maryland,"Anne Arundel County, MD -- Note added 4/21/14 14:52",http://www.aacounty.org/,6/6/13 18:08
aces.edu,aces.edu,aces.edu,,,,,,,,,,,,,200,200,aal.army,Department of the Army,,,Federal,,,"The Army Applications Laboratory was established in 2018, along with the stand-up of the Army Futures Command, to act as a concierge service across the Army’s Future Force Modernization Enterprise and the broader commercial marketplace of ideas. Based on the 8th floor of the Capital Factory in Austin, AAL’s mission is to align innovative solutions and technologies with Army problems, resources and programs to rapidly discover, validate and transition technology applications in support of Army modernization. - From https://armyfuturescommand.com/aal/. aal.army links to Army Futures Command (armyfuturescommand.com) -- 8/26/2019 DPM",https://aal.army,8/26/19 0:00
carogalakeny.com,carogalakeny.com,carogalakeny.com,,,,,,,,,,,,,200,200,aapcc.org,,,,Quasigovernmental,,,American Association of Poison Control Centers -- Note added 1/10/14 19:19,http://www.aapcc.org/,1/10/14 19:19
211.getcare.com,211.getcare.com,getcare.com,https://211.getcare.com/consite/index.php,getcare.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,aatwp.org,,,,Local,,Michigan,"Ann Arbor Charter Township, MI -- Note added 9/2/15 19:54",http://aatwp.org/,6/6/13 18:08
3riverscfc.org,3riverscfc.org,3riverscfc.org,https://loveklyde.com/?lpkey=eyJ0aW1lc3RhbXAiOiIxNjczMzYwNDUyIiwiaGFzaCI6IjgxMGM0ZDQwZGJiMjliOTdhMTQ1YzY4OTY5N2E3MWU0MTAyOGI1NzIifQ%3D%3D&bemobdata=c%3D38c29924-3bc1-465f-ba1a-0ee1ac4811b2..l%3D63717da3-6e2b-4c2b-af02-08258ac6a0b9..a%3D0..b%3D0..z%3D0.05..e%3DdRvXfoOHPZk..c1%3D1103899796..c2%3D897183..c3%3D1103899796.com..c5%3Drivers%2520federal%2520credit%2520union..c6%3DVerizon%2520Fios..c7%3Dmd..c8%3D5493475..r%3Dhttp%253A%252F%252F0redire.com%252F&cid=YE9mnkreBpBsjK5qYCnmff,loveklyde.com,text/html,TRUE,FALSE,FALSE,FALSE,Combined Federal Campaign,,,200,,Connection failure,Connection failure,aberdeen-md.org,,,,Local,,Maryland,"City of Aberdeen, MD -- Note added 3/20/14 17:17",http://www.aberdeen-md.org/,6/6/13 18:08
abilenetx.com,abilenetx.com,abilenetx.com,,,,,,,,,,,,,200,200,aberdeen.sd.us,,,,Local,,South Dakota,"City of Aberdeen, SD -- Note added 11/18/13 14:17",http://aberdeen.sd.us/,6/6/13 18:09
abilenecityhall.com,abilenecityhall.com,abilenecityhall.com,https://abilenecityhall.com/,abilenecityhall.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,aberdeenms.us,,,,Local,,Mississippi,"City of Aberdeen, MS -- Note added 7/8/14 12:52",http://aberdeenms.us/,6/6/13 18:08
aberdeenwa.gov,aberdeenwa.gov,aberdeenwa.gov,https://aberdeenwa.gov/,aberdeenwa.gov,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,aberdeennj.org,,,,Local,,New Jersey,"Township of Aberdeen, NJ -- Note added 6/27/14 13:03",http://www.aberdeennj.org/,6/6/13 18:08
abington.org,abington.org,abington.org,https://www.abingtonpa.gov/,abingtonpa.gov,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,200,200,aberdeenwa.gov,,,,Local,,Washington,"City of Aberdeen, WA -- Note added 9/12/14 5:24",http://aberdeenwa.gov/,6/6/13 18:08
academyadmissions.com,academyadmissions.com,academyadmissions.com,https://www.academyadmissions.com/,academyadmissions.com,text/html,TRUE,TRUE,TRUE,FALSE,Department of Defense (DOD),,,200,,200,200,abilenecityhall.com,,,,Local,,Kansas,"City of Abilene, KS -- Note added 6/6/13 18:08",http://abilenecityhall.com/,6/6/13 18:08
aberdeennj.org,aberdeennj.org,aberdeennj.org,https://aberdeennj.org/,aberdeennj.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,abilenetx.com,,,,Local,,Texas,"City of Abilene, TX -- Note added 3/3/15 6:31",http://abilenetx.com/,6/6/13 18:08
accessduarte.com,accessduarte.com,accessduarte.com,https://www.accessduarte.com/,accessduarte.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,abington.org,,,,Local,,Pennsylvania,"Township of Abington, PA -- Note added 6/27/14 16:12",http://abington.org/,6/6/13 18:08
accessfayetteville.org,accessfayetteville.org,accessfayetteville.org,,,,,,,,,,,,,200,200,academyadmissions.com,Department of Defense (DOD),,,Federal,,,Air Force Academy Admissions -- Note added 3/24/14 16:11,https://www.academyadmissions.com/,3/24/14 16:11
accessesmeralda.com,accessesmeralda.com,accessesmeralda.com,https://www.accessesmeralda.com/,accessesmeralda.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,accessduarte.com,,,,Local,,California,"City of Duarte, CA -- Note added 2/27/15 18:10",http://accessduarte.com/,6/6/13 18:08
accidentmd.org,accidentmd.org,accidentmd.org,,,,,,,,,,,,,200,200,accessesmeralda.com,,,,County,,Nevada,"County of Esmeralda, NV -- Note added 11/18/13 14:25",http://www.accessesmeralda.com/,6/6/13 18:08
accesskent.com,accesskent.com,accesskent.com,https://accesskent.com/,accesskent.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,accessfayetteville.org,,,,Local,,Arkansas,"City of Fayetteville, AR -- Note added 7/17/13 16:00",http://accessfayetteville.org/,6/6/13 18:08
accessidaho.org,accessidaho.org,accessidaho.org,https://www.accessidaho.org/,accessidaho.org,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,accessidaho.org,,,,State,,Idaho,State of Idaho (mirror website of www.idaho.gov) -- Note added 7/17/14 14:28,http://www.accessidaho.org/,6/6/13 18:08
aces.nmsu.edu/pubs,aces.nmsu.edu/pubs,nmsu.edu,https://pubs.nmsu.edu/,nmsu.edu,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,accesskent.com,,,,Local,,Michigan,"accesskent, mi -- Note added 9/2/15 19:54",https://www.accesskent.com/,6/6/13 18:08
acgov.org,acgov.org,acgov.org,https://acgov.org/,acgov.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,accessportsmouthva.com,,,,Local,,Virginia,"City of Portsmouth, VA Economic Development -- Note added 9/5/2020 18:10",https://www.accessportsmouthva.com/,9/5/20 18:10
actonmaine.org,actonmaine.org,actonmaine.org,,,,,,,,,,,,,Connection failure,Connection failure,accidentmd.org,,,,County,,Maryland,"Accident Maryland, located in Garrett County, MD. -- Note added 4/29/14 14:21",http://www.accidentmd.org,6/6/13 18:08
acworth.org,acworth.org,acworth.org,https://acworth.org/,acworth.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,aces.edu,,,,State,,Alabama,Alabama Cooperative Extension System -- Note added 6/12/13 16:37,http://www.aces.edu/main/,6/6/13 18:08
adamscounty.us,adamscounty.us,adamscounty.us,,,,,,,,,,,,,200,200,aces.nmsu.edu/pubs,,,,State,,New Mexico,New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38,#N/A,6/6/13 18:08
aclink.org,aclink.org,aclink.org,https://aclink.org/,aclink.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,acgov.org,,,,County,,California,"Alameda, CA County website -- Note added 2/27/15 18:18",http://acgov.org/,6/6/13 18:08
adamscounty.org,adamscounty.org,adamscounty.org,https://adamscounty.org/,adamscounty.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,aclink.org,,,,County,,New Jersey,"Atlantic County, NJ  -- Note added 6/27/14 13:13",http://www.aclink.org/,6/6/13 18:08
aberdeenms.us,aberdeenms.us,aberdeenms.us,http://www6.aberdeenms.us/?template=ARROW_3&tdfs=1&s_token=1673360466.0162100000&uuid=1673360466.0162100000&term=City%20News%20Media%20Monitoring%20System&term=Utility%20Payment%20Processing%20Service&term=Government%20Payment%20Processing&term=Searchable%20Public%20Records%20Database%20Software&term=Tax%20Document%20Management%20Software&term=Travel%20and%20Tourism%20Guide&term=Government%20Job%20Openings&term=Business%20Online%20Registration%20Platform&term=Event%20Schedule%20Software&searchbox=0&showDomain=0&backfill=0,aberdeenms.us,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,actonmaine.org,,,,Local,,Maine,"acton, maine -- Note added 8/27/15 17:55",http://actonmaine.org/,6/6/13 18:08
adaok.com,adaok.com,adaok.com,https://adaok.com/,adaok.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,acworth.org,,,,Local,,Georgia,"Acworth, GA -- Note added 8/25/15 14:03",http://cityofacworth.org/,6/6/13 18:08
adamstwp.org,adamstwp.org,adamstwp.org,https://adamstwp.org/,adamstwp.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,adamscounty.org,,,,County,,Nebraska,"Adams County, NE -- Note added 12/6/13 18:48",http://adamscounty.org/,6/6/13 18:08
adaweb.net,adaweb.net,adaweb.net,https://adacounty.id.gov/,id.gov,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,Connection failure,Connection failure,adamscounty.us,,,,County,,Pennsylvania,"Adams County, PA -- Note added 7/24/13 18:55",http://www.adamscounty.us/Pages/Home.aspx,6/6/13 18:08
addisla.org,addisla.org,addisla.org,https://www.addisla.org/,addisla.org,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,adamstwp.org,,,,Local,,Pennsylvania,"Adams Township, PA -- Note added 6/30/14 13:50",http://adamstwp.org/,6/6/13 18:08
alpinetwp.org,alpinetwp.org,alpinetwp.org,,,,,,,,,,,,,200,200,adaok.com,,,,Local,,Oklahoma,"addock, ok -- Note added 8/28/15 16:26",http://adaok.com/,6/6/13 18:08
360eldorado.com/Government,360eldorado.com/government,360eldorado.com,,,,,,,,,,,,,200,200,adaweb.net,,,,County,,Idaho,"Ada County, ID -- Note added 7/14/14 13:54",https://adacounty.id.gov/,6/6/13 18:08
addisonwi.org,addisonwi.org,addisonwi.org,https://addisonwi.gov/,addisonwi.gov,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,200,200,addisla.org,,,,Local,,Louisiana,"Town of Addis, LA -- Note added 8/21/15 14:16",http://addisla.org/,6/6/13 18:08
adellwi.govoffice2.com,adellwi.govoffice2.com,govoffice2.com,https://adellwi.govoffice2.com/,govoffice2.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,addisonadvantage.org,,,,Local,,Illinois,"Village of Addison, IL -- Note added 7/1/14 18:53",http://addisonadvantage.org/,6/6/13 18:08
adeliowa.org,adeliowa.org,adeliowa.org,https://adeliowa.org/,adeliowa.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,addisonwi.org,,,,Local,,Wisconsin,"Town of Addison, WI -- Note added 7/25/14 5:44",http://addisonwi.org/,6/6/13 18:08
addisonadvantage.org,addisonadvantage.org,addisonadvantage.org,https://addisonadvantage.org/,addisonadvantage.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,adeliowa.org,,,,Local,,Iowa,"City of Adel, IA -- Note added 7/19/13 13:11",http://adeliowa.org/default.page,6/6/13 18:08
aerhq.org,aerhq.org,aerhq.org,https://www.armyemergencyrelief.org/,armyemergencyrelief.org,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,200,200,adellwi.govoffice2.com,,,,Local,,Wisconsin,"Village of Adell, WI -- Note added 1/13/14 19:14",http://www.adellwi.govoffice2.com/,6/6/13 18:09
afacademy.af.edu,afacademy.af.edu,af.edu,,,,,,,,Department of Defense (DOD),,,,,200,200,adlnet.org,Department of Defense (DOD),,,Federal,,,"Advanced Distributed Learning, an official website of the U.S. Government sponsored by the Office of the Under Secretary of Defense for Personnel and Readiness (OUSD P&R) -- Note added 11/13/13 14:12",http://adlnet.org/,11/13/13 14:11
afcity.org,afcity.org,afcity.org,,,,,,,,,,,,,Connection failure,Connection failure,adoptpakids.org,,,,State,,Pennsylvania,Pennsylvania Adoption Exchange -- Note added 6/30/14 15:39,http://www.adoptpakids.org/,6/6/13 18:08
adoptuskids.org,adoptuskids.org,adoptuskids.org,https://adoptuskids.org/,adoptuskids.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,adoptuskids.org,,,,Quasigovernmental,,,AdoptUSKids is a service of the U.S. Children's Bureau (HHS) and has been in operation since 2002 by the Adoption Exchange Association ¬†under a cooperative agreement (grant #90CQ0003). -- Note added 6/14/13 18:04,#N/A,6/6/13 18:08
adph.org,adph.org,adph.org,https://www.alabamapublichealth.gov/index.html,alabamapublichealth.gov,text/html,TRUE,TRUE,FALSE,FALSE,,,,200,,200,200,adph.org,,,,State,,Alabama,Alabama Department of Public Health -- Note added 6/12/13 16:40,http://adph.org/,6/6/13 18:08
afb.org,afb.org,afb.org,https://afb.org/,afb.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,aerhq.org,,,,Quasigovernmental,,,Army Emergency Relief is a private nonprofit organization incorporated in 1942 by the Secretary of War and the Army Chief of Staff. -- Note added 11/18/13 14:29,http://www.aerhq.org/dnn563/,6/6/13 18:08
afneurope.net,afneurope.net,afneurope.net,,,,,,,,Department of Defense (DOD),,,,,Connection failure,Connection failure,afacademy.af.edu,Department of Defense (DOD),,,Federal,,,United States Air Force Academy email domain. -- Note added 09/01/21 16:57,https://usafa.edu,9/1/21 16:57
adlnet.org,adlnet.org,adlnet.org,https://www.adlnet.org/,adlnet.org,text/html,TRUE,TRUE,TRUE,FALSE,Department of Defense (DOD),,,200,,200,200,afb.org,,,,Quasigovernmental,,,American Foundation for the Blind -- Note added 6/14/13 18:08,http://www.afb.org/default.aspx,6/6/13 18:08
ncfloodmaps.com,ncfloodmaps.com,ncfloodmaps.com,,,,,,,,,,,,,Connection failure,Connection failure,afcity.org,,,,Local,,Utah,"American Fork City, UT -- Note added 7/19/13 18:40",http://afcity.org/,6/6/13 18:08
afognak.org,afognak.org,afognak.org,https://afognak.org/,afognak.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,afcrossroads.com,,,,Quasigovernmental,,,Armed Forces Crossroads -- Note added 6/14/13 18:11,#N/A,6/6/13 18:08
afpmb.org,afpmb.org,afpmb.org,,,,,,,,Department of Defense (DOD),,,,,Connection failure,Connection failure,afneurope.net,Department of Defense (DOD),,,Federal,,,American Forces Network Europe. AFN American Forces Network &reg; is a registered trademark of the U.S. Department of Defense. -- Note added 5/8/15 14:17,http://www.afneurope.net/,5/8/15 14:16
afreserve.com,afreserve.com,afreserve.com,https://afreserve.com/,afreserve.com,text/html,TRUE,FALSE,TRUE,TRUE,Department of the Air Force,,,200,,Connection failure,Connection failure,afnpacific.net,Department of Defense (DOD),,,Federal,,,American Forces Network Pacific. AFN American Forces Network &reg; is a registered trademark of the U.S. Department of Defense. -- Note added 5/8/15 14:18,http://afnpacific.net/,5/8/15 14:17
accessportsmouthva.com,accessportsmouthva.com,accessportsmouthva.com,https://www.accessportsmouthva.com/,accessportsmouthva.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,afognak.org,,,,Native Sovereign Nation / Tribal,,Alaska,"Native Village of Afognak, Kodiak, AK -- Note added 6/12/13 15:46",http://afognak.org/,6/6/13 18:08
#N/A,174.132.145.94/~hope,145.94,,,,,,,,,,,,,Connection failure,Connection failure,afpmb.org,Department of Defense (DOD),,,Federal,,,Armed Forces Pest Management Board is a Directorate in the Office of the Deputy Under Secretary of Defense for Installations and Environment (DUSD(I&E)). -- Note added 6/14/13 18:13,#N/A,6/6/13 18:08
afthunderbirds.com,afthunderbirds.com,afthunderbirds.com,https://afthunderbirds.com/,afthunderbirds.com,text/html,TRUE,FALSE,TRUE,TRUE,Department of the Air Force,,,200,,200,200,afreserve.com,Department of the Air Force,,,Federal,,,US Air Force Reserve recruiting site -- Note added 6/6/13 18:08,https://afreserve.com/,6/6/13 18:08
ag.umass.edu,ag.umass.edu,umass.edu,https://ag.umass.edu/,umass.edu,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,afthunderbirds.com,Department of the Air Force,,,Federal,,,Air Force Thunderbirds -- Note added 9/12/14 11:40,http://afthunderbirds.com/,9/12/14 11:40
aftoniowa.com,aftoniowa.com,aftoniowa.com,https://www.aftoniowa.com/,aftoniowa.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,aftoniowa.com,,,,Local,,Iowa,"City of Afton, IA -- Note added 7/21/15 12:31",http://www.aftoniowa.com/,6/6/13 18:08
agfirst.com,agfirst.com,agfirst.com,https://www.agfirst.com/,agfirst.com,text/html,TRUE,TRUE,TRUE,FALSE,Farm Credit Administration,,,200,,200,200,ag.umass.edu,,,,State,,Massachusetts,University of Massachusetts Center for Agriculture Research and Extension -- Note added 11/20/13 15:32,http://ag.umass.edu/,6/6/13 18:09
agnic.org,agnic.org,agnic.org,https://agnic.org/,agnic.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,agfirst.com,Farm Credit Administration,,,Federal,,,"AgFirst Farm Credit Bank is part of the national Farm Credit System, the largest agricultural lending organization in the United States -- Note added 7/19/13 13:35",http://agfirst.com/index.asp,6/6/13 18:08
agribank.com,agribank.com,agribank.com,https://www.agribank.com/,agribank.com,text/html,TRUE,TRUE,TRUE,FALSE,Farm Credit Administration,,,200,,200,200,agnic.org,,,,Quasigovernmental,,,"Agriculture Network Information Collaborative (AgNIC), a voluntary alliance of institutions working to offer quick and reliable access to quality agricultural information and sources -- Note added 8/20/13 12:17",#N/A,8/20/13 12:16
agrilifeextension.tamu.edu,agrilifeextension.tamu.edu,tamu.edu,https://agrilifeextension.tamu.edu/,tamu.edu,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,agribank.com,Farm Credit Administration,,,Federal,,,"Under the Farm Credit System's cooperative structure, AgriBank is owned by 17 affiliated Farm Credit Associations. The AgriBank District covers America's Midwest, a fifteen state area from Wyoming to Ohio and Minnesota to Arkansas. -- Note added 6/17/13 15:03",#N/A,6/6/13 18:08
ahfc.us,ahfc.us,ahfc.us,https://www.ahfc.us/,ahfc.us,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,agrilifeextension.tamu.edu,,,,State,,Texas,Texas A&M AgriLife Extension -- Note added 3/3/15 6:32,http://agrilifeextension.tamu.edu/,6/6/13 18:08
ahnj.com,ahnj.com,ahnj.com,https://www.ahnj.com/ahnj/#gsc.tab=0,ahnj.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,ahfa.com,,,,State,,Alabama,Alabama Housing Finance Authority -- Note added 6/12/13 16:40,http://www.ahfa.com/,6/6/13 18:08
aidea.org,aidea.org,aidea.org,,,,,,,,,,,,,200,200,ahfc.us,,,,State,,Alaska,Alaska Housing Finance Corporation -- Note added 6/6/13 18:08,http://www.ahfc.us/,6/6/13 18:08
castletonvermont.org,castletonvermont.org,castletonvermont.org,,,,,,,,,,,,,200,200,ahnj.com,,,,Local,,New Jersey,"Borough of Atlantic Highlands, NJ -- Note added 6/30/14 11:38",http://ahnj.com/ahnj/,6/6/13 18:08
ahfa.com,ahfa.com,ahfa.com,https://www.ahfa.com/,ahfa.com,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,Connection failure,Connection failure,aidea.org,,,,State,,Alaska,Alaska Industrial Development and Export Authority -- Note added 6/6/13 18:08,http://www.aidea.org/,6/6/13 18:08
airforce.com,airforce.com,airforce.com,https://www.airforce.com/,airforce.com,text/html,TRUE,TRUE,TRUE,FALSE,Department of the Air Force,,,200,,200,200,airdefenseartillery.com,Department of Defense (DOD),,,Federal,,,"Air Defense Artillery, a magazine of the Armed Forces as listed at http://www.defense.gov/pubs/magazines.html.  -- Note added 11/18/13 14:34",http://airdefenseartillery.com/,6/6/13 18:08
airspacemag.com,airspacemag.com,airspacemag.com,,,,,,,,Smithsonian Institution,,,,,200,200,airforce.com,Department of the Air Force,,,Federal,,,US Air Force recruiting site -- Note added 6/6/13 18:08,https://www.airforce.com/,6/6/13 18:08
ajcity.net,ajcity.net,ajcity.net,,,,,,,,,,,,,200,200,airmont.org,,,,Local,,New York,"Village of Airmont, NY -- Note added 9/26/14 18:33",http://www.airmont.org/,6/6/13 18:08
ak-prepared.com,ak-prepared.com,ak-prepared.com,,,,,,,,,,,,,Connection failure,Connection failure,airspacemag.com,Smithsonian Institution,,,Federal,,,Smithsonian Air & Space Magazine -- Note added 8/25/14 13:00,http://www.airspacemag.com/?no-ist,8/25/14 13:00
airmont.org,airmont.org,airmont.org,https://www.airmont.org/,airmont.org,text/html,TRUE,TRUE,TRUE,FALSE,,,,200,,200,200,ajb.org,Employment and Training Administration,,,Federal,,,"America's Job Bank, A CareerOneStop site sponsored by the U. S. Department of Labor, Employment and Training Administration. -- Note added 6/14/13 18:21",#N/A,6/6/13 18:08
akenergyauthority.org,akenergyauthority.org,akenergyauthority.org,,,,,,,,,,,,,Connection failure,Connection failure,ajcity.net,,,,Local,,Arizona,"Apache Junction, AZ -- Note added 11/18/13 14:35",http://www.ajcity.net/,6/6/13 18:08
akpb.org,akpb.org,akpb.org,,,,,,,,,,,,,Connection failure,Connection failure,ak-prepared.com,,,,State,,Alaska,Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management -- Note added 6/27/14 6:01,http://ak-prepared.com/,6/6/13 18:08
akaerospace.com,akaerospace.com,akaerospace.com,https://akaerospace.com/,akaerospace.com,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,200,200,akaerospace.com,,,,State,,Alaska,Alaska Aerospace Corporation (Board of directors appointed by Alaska governor) -- Note added 7/23/14 15:36,http://akaerospace.com/index.html,6/6/13 18:08
akoltco.org,akoltco.org,akoltco.org,https://akoltco.org/,akoltco.org,text/html,TRUE,FALSE,TRUE,TRUE,,,,200,,Connection failure,Connection failure,akenergyauthority.org,,,,State,,Alaska,Alaska Energy Authority -- Note added 6/6/13 18:08,http://www.akenergyauthority.org/,6/6/13 18:08
akron-pa.com,akron-pa.com,akron-pa.com,,,,,,,,,,,,,200,200,akoltco.org,,,,County,,Alaska,Alaska Office of Long Term Care Ombudsman -- Note added 6/27/14 6:06,http://akoltco.org/,6/6/13 18:08
