Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
1800runaway.org,,Quasigovernmental,,accepted term,"The National Runaway Safeline serves as the federally designated national communication system for runaway and homeless youth. Services are provided through funding from Family and Youth Services Bureau in the Administration for Children and Families, U.S. Department of Health and Human Services and the generosity of private funders (individual donors, corporate partners, and foundation grants). -- Note added 7/23/14 13:04",http://www.1800runaway.org/,1/10/14 19:15
911digitalarchive.org,,Quasigovernmental,,accepted term,The September 11 Digital Archive (funded by a major grant from the Alfred P. Sloan Foundation and organized by the American Social History Project at the City University of New York Graduate Center and the Center for History and New Media at George Mason University) -- Note added 6/6/13 18:08,http://911digitalarchive.org/,6/6/13 18:08
aapcc.org,,Quasigovernmental,,accepted term,American Association of Poison Control Centers -- Note added 1/10/14 19:19,http://www.aapcc.org/,1/10/14 19:19
adoptuskids.org,,Quasigovernmental,,accepted term,AdoptUSKids is a service of the U.S. Children's Bureau (HHS) and has been in operation since 2002 by the Adoption Exchange Association ¬†under a cooperative agreement (grant #90CQ0003). -- Note added 6/14/13 18:04,#N/A,6/6/13 18:08
aerhq.org,,Quasigovernmental,,accepted term,Army Emergency Relief is a private nonprofit organization incorporated in 1942 by the Secretary of War and the Army Chief of Staff. -- Note added 11/18/13 14:29,http://www.aerhq.org/dnn563/,6/6/13 18:08
afb.org,,Quasigovernmental,,accepted term,American Foundation for the Blind -- Note added 6/14/13 18:08,http://www.afb.org/default.aspx,6/6/13 18:08
afcrossroads.com,,Quasigovernmental,,accepted term,Armed Forces Crossroads -- Note added 6/14/13 18:11,#N/A,6/6/13 18:08
agnic.org,,Quasigovernmental,,accepted term,"Agriculture Network Information Collaborative (AgNIC), a voluntary alliance of institutions working to offer quick and reliable access to quality agricultural information and sources -- Note added 8/20/13 12:17",#N/A,8/20/13 12:16
asthmacommunitynetwork.org,,Quasigovernmental,,accepted term," Asthma Community Network            Join today and become a partner in building and maintaining AsthmaCommunityNetwork.org. This online Network is designed for community-based asthma programs and organizations that sponsor them&mdash;including representatives of health plans and providers, government health and environmental agencies, nonprofits, coalitions, schools and more. The Network is supported by the http://www.epa.gov/ U.S. Environmental Protection Agency in partnership with http://asthma.umich.edu/ Allies Against Asthma, a program of the Robert Wood Johnson Foundation and the http://www.asthmacommunitynetwork.org/mcanpartners Merck Childhood Asthma Network, Inc. (MCAN), a nonprofit organization funded by the Merck Company Foundation. From http://www.asthmacommunitynetwork.org/about/whoweare ; Retrieved December 23, 2016         -- Note added 12/23/16 21:37",http://www.asthmacommunitynetwork.org/,12/23/16 20:36
avalon.law.yale.edu,#N/A,Quasigovernmental,,candidate term,"The Avalon Project, documents in law, history, and diplomacy -- Note added 6/14/13 18:25",#N/A,6/6/13 18:08
bridgingfoundation.org,Japan-US Friendship Commission,Quasigovernmental,District of Columbia,accepted term,"The United States – Japan Bridging Foundation (USJBF), a 501 (c)(3) nonprofit organization created in 1998, was established at the recommendation of the Japan-US Friendship Commission, an independent federal agency. from https://www.bridgingfoundation.org/about-us . friendshipblossoms.org redirects to bridgingfoundation.org",https://www.bridgingfoundation.org,07/14/2020
